SpineBaseX,SpineBaseY,SpineBaseZ,HipLeftX,HipLeftY,HipLeftZ,HipRightX,HipRightY,HipRightZ,KneeLeftX,KneeLeftY,KneeLeftZ,KneeRightX,KneeRightY,KneeRightZ
-0.1064704,-0.1709994,1.70115,-0.1838168,-0.1709954,1.658903,-0.2091499,-0.5185409,1.645061,-0.02441855,-0.1634519,1.668274,0.05309853,-0.5231258,1.590504
0.1504419,-0.2016115,1.856262,0.0683037,-0.187401,1.813211,-0.004897299,-0.5575299,1.724235,0.2264227,-0.2077623,1.823774,0.2197884,-0.5768733,1.794228
0.1325443,-0.1945098,1.851846,0.05012645,-0.1806852,1.813915,-0.04195512,-0.5164981,1.668725,0.208914,-0.2004364,1.813969,0.2156588,-0.5723283,1.798818
0.1304678,-0.194558,1.85181,0.04717168,-0.1809745,1.813186,-0.04469126,-0.5185391,1.670406,0.2076485,-0.2003175,1.814479,0.2141535,-0.57153,1.798777
0.12758,-0.1954838,1.851749,0.0441247,-0.1823934,1.81264,-0.05000842,-0.5197064,1.677121,0.2052343,-0.2007461,1.814978,0.2135899,-0.571524,1.798273
0.1223994,-0.1968452,1.850902,0.03899195,-0.1848814,1.811903,-0.05745325,-0.5243972,1.69178,0.2004055,-0.2009672,1.814207,0.2126654,-0.5707352,1.798019
0.1138722,-0.197429,1.850005,0.0310177,-0.1868593,1.811568,-0.06689554,-0.530277,1.706323,0.1917072,-0.20001,1.812859,0.2103871,-0.5664822,1.797317
0.09363204,-0.1979468,1.846115,0.0113963,-0.1904711,1.808863,-0.08626965,-0.5312536,1.718818,0.1717043,-0.1973093,1.807864,0.2008411,-0.549842,1.790716
0.0778458,-0.198205,1.843569,-0.004106515,-0.1924207,1.807673,-0.09747341,-0.5306778,1.722087,0.1563344,-0.1958532,1.803979,0.1947058,-0.5482523,1.787527
0.06151697,-0.1973465,1.842755,-0.01948781,-0.1928521,1.808504,-0.1084219,-0.5313132,1.723735,0.1397363,-0.1936816,1.801461,0.1847739,-0.5495645,1.783728
0.04611475,-0.1969085,1.841239,-0.0350486,-0.1933611,1.80711,-0.1187534,-0.5325481,1.723692,0.1253539,-0.1923856,1.799889,0.1720775,-0.5506275,1.779952
0.02892985,-0.1967875,1.840115,-0.05234281,-0.1939615,1.806026,-0.1270814,-0.5337617,1.724455,0.1089979,-0.1915625,1.798736,0.1611409,-0.5539257,1.774204
0.01209057,-0.1952643,1.839947,-0.06867843,-0.1931461,1.806092,-0.1404282,-0.5352124,1.730854,0.09234997,-0.189371,1.798328,0.150189,-0.559677,1.767
-0.002206897,-0.194463,1.841664,-0.08268801,-0.1933273,1.807507,-0.1501746,-0.5395217,1.737413,0.07831305,-0.1876183,1.800358,0.1409047,-0.5623077,1.758326
-0.01615046,-0.1925583,1.844016,-0.09673864,-0.1926791,1.810522,-0.1568413,-0.5423023,1.741697,0.06498119,-0.184564,1.80207,0.1329289,-0.5580021,1.748438
-0.02732922,-0.1917232,1.846148,-0.1080949,-0.1928605,1.812708,-0.1640508,-0.548836,1.746848,0.05447309,-0.1827819,1.804138,0.1255608,-0.5520142,1.738516
-0.03960972,-0.1896564,1.850347,-0.1195678,-0.1918699,1.817535,-0.1690185,-0.5481426,1.749864,0.04185585,-0.1796753,1.807701,0.1177703,-0.5463428,1.73064
-0.04775386,-0.1879501,1.851246,-0.1271742,-0.1910052,1.818486,-0.1721773,-0.5469663,1.751457,0.03354564,-0.1771629,1.808539,0.1099292,-0.5401171,1.72209
-0.05738544,-0.1872759,1.853166,-0.1375045,-0.191036,1.820387,-0.1761474,-0.5467718,1.752676,0.02499831,-0.1759055,1.810475,0.1022421,-0.5343783,1.715349
-0.0747405,-0.184243,1.855392,-0.15458,-0.1889256,1.8239,-0.1848718,-0.5480334,1.755307,0.008052888,-0.1720657,1.81146,0.08430079,-0.5293278,1.706935
-0.08260931,-0.1838454,1.856549,-0.1624135,-0.1889108,1.82537,-0.1885048,-0.5489617,1.757404,0.0005397633,-0.1713167,1.812309,0.07118924,-0.5300428,1.705542
